Account,date,total_pnl,num_trades,win_rate,avg_trade_size,total_trade_size,long_trades,short_trades,long_short_ratio,sentiment,activity_group,pnl_volatility,consistency_group,exposure_group,next_day_pnl,next_day_profitable
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,3711,0.3381837779574239,494.23683912691996,1834112.91,1738,1973,0.8804457953394124,Greed,High Activity,25879.553074420644,Consistent,Low Exposure,32683.214094,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,4629,0.36552171095268954,541.9522812702527,2508697.11,2270,2359,0.961864406779661,Fear,High Activity,25879.553074420644,Consistent,High Exposure,,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,328,0.4115853658536585,8444.161189024391,2769684.87,183,145,1.2534246575342465,Greed,Low Activity,390500.89329457725,Inconsistent,High Exposure,613327.827224,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,3806,0.4952706253284288,8998.349072517078,34247716.57,1797,2009,0.8940298507462686,Fear,High Activity,390500.89329457725,Inconsistent,High Exposure,,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,730,0.30684931506849317,6219.798493150685,4540452.9,357,373,0.9545454545454546,Extreme Greed,Low Activity,116302.38300087833,Inconsistent,High Exposure,-25991.506339,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,1309,0.3315508021390374,10190.317929717341,13339126.17,706,603,1.1688741721854305,Neutral,High Activity,116302.38300087833,Inconsistent,High Exposure,111230.498007,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,1703,0.3282442748091603,19645.16682912507,33455719.11,960,743,1.2903225806451613,Greed,High Activity,116302.38300087833,Inconsistent,High Exposure,223968.37089299998,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,3737,0.39175809472839174,20468.303636606903,76490050.69,2107,1630,1.2918454935622317,Fear,High Activity,116302.38300087833,Inconsistent,High Exposure,,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,223,0.0,3261.5788789237668,727332.09,223,0,223.0,Greed,Low Activity,285318.75166853267,Inconsistent,Low Exposure,403501.648209,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,5777,0.4156136402977324,28304.44506318158,163514779.13,2646,3131,0.8448275862068966,Fear,High Activity,285318.75166853267,Inconsistent,High Exposure,,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,250,1.0,525.47136,131367.84,0,250,0.0,Greed,Low Activity,66863.96996598267,Consistent,Low Exposure,6979.340871,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,572,0.2692307692307692,891.0710664335664,509692.65,346,226,1.524229074889868,Fear,Low Activity,66863.96996598267,Consistent,Low Exposure,,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,202,0.5148514851485149,16311.138465346536,3294849.97,104,98,1.0505050505050506,Greed,Low Activity,162123.1835270101,Inconsistent,High Exposure,98269.195073,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,932,0.43991416309012876,8098.078723175966,7547409.37,299,633,0.471608832807571,Fear,High Activity,162123.1835270101,Inconsistent,High Exposure,,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,419,0.028639618138424822,2305.200429594272,965878.98,11,408,0.02689486552567237,Greed,Low Activity,205207.94245249778,Inconsistent,Low Exposure,341945.434741,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,939,0.3961661341853035,2123.4002662406815,1993872.85,574,365,1.5683060109289617,Fear,High Activity,205207.94245249778,Inconsistent,Low Exposure,,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,3041,0.8240710292666886,3677.8091055573827,11184217.49,1409,1632,0.8628291488058788,Extreme Greed,High Activity,86720.03206263528,Inconsistent,High Exposure,0.16271999999999998,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,6,0.16666666666666666,34.916666666666664,209.5,3,3,0.75,Neutral,Low Activity,86720.03206263528,Inconsistent,Low Exposure,37526.331877,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,1016,0.8208661417322834,2056.391348425197,2089293.61,545,471,1.1546610169491525,Greed,High Activity,86720.03206263528,Inconsistent,Low Exposure,136208.043913,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,4885,0.7985670419651996,2330.3033080859777,11383531.66,2321,2564,0.9048732943469786,Fear,High Activity,86720.03206263528,Inconsistent,High Exposure,,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,1554,0.4510939510939511,3643.361287001287,5661783.44,687,867,0.7914746543778802,Fear,High Activity,,Inconsistent,High Exposure,,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,15,0.0,2333.2533333333336,34998.8,15,0,15.0,Greed,Low Activity,138807.74309475298,Inconsistent,Low Exposure,196303.792847,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,3056,0.28763089005235604,2249.731112565445,6875178.28,979,2077,0.47112608277189605,Fear,High Activity,138807.74309475298,Inconsistent,High Exposure,,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,54,0.037037037037037035,933.2848148148149,50397.380000000005,47,7,5.875,Greed,Low Activity,45607.29298463915,Consistent,Low Exposure,64510.169958,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,1802,0.3401775804661487,6453.556398446171,11629308.63,1071,731,1.4631147540983607,Fear,High Activity,45607.29298463915,Consistent,High Exposure,,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,3810,0.32545931758530183,772.3728871391077,2942740.7,1706,2104,0.8104513064133017,Neutral,High Activity,30325.472764467504,Consistent,High Exposure,39978.37791,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,1804,0.32427937915742794,1376.8141407982262,2483772.71,625,1179,0.5296610169491526,Greed,High Activity,30325.472764467504,Consistent,High Exposure,46257.358187,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,5602,0.30739021777936454,658.3625776508391,3688147.16,2453,3149,0.7787301587301587,Fear,High Activity,30325.472764467504,Consistent,High Exposure,,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,724,0.07596685082872928,2936.1985911602205,2125807.78,642,82,7.734939759036145,Greed,Low Activity,64917.39714894605,Consistent,High Exposure,100502.420808,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,2080,0.3903846153846154,3430.149134615385,7134710.2,1218,862,1.4113557358053301,Fear,High Activity,64917.39714894605,Consistent,High Exposure,,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,4211,0.418665400142484,1636.15022559962,6889828.6,2398,1813,1.3219404630650495,Greed,High Activity,6269.142867731186,Consistent,High Exposure,40314.808014,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,9274,0.32003450506793185,1157.8793541082598,10738173.13,6130,3144,1.9491255961844196,Fear,High Activity,6269.142867731186,Consistent,High Exposure,,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,39,0.0,7877.326666666667,307215.74,31,8,3.4444444444444446,Neutral,Low Activity,41414.6924947144,Consistent,Low Exposure,67900.247545,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,283,0.5477031802120141,1684.2025795053005,476629.33,125,158,0.7861635220125787,Greed,Low Activity,41414.6924947144,Consistent,Low Exposure,19451.742477,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,95,0.8842105263157894,820.6771578947369,77964.33,0,95,0.0,Fear,Low Activity,41414.6924947144,Consistent,Low Exposure,,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,190,0.5526315789473685,3387.3391578947367,643594.44,84,106,0.7850467289719626,Greed,Low Activity,8608.14950223787,Consistent,Low Exposure,8751.751449,1
